Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 62	4	297203.25	 73424.248	36712.124	116834.363	LIGHT	0.27249615	.
WT	 63	4	301485.00	 75103.254	37551.627	119506.037	LIGHT	0.27901084	.
WT	 64	4	304489.75	 77271.366	38635.683	122955.987	LIGHT	0.26325523	.
WT	 65	4	306804.25	 77571.173	38785.587	123433.047	LIGHT	0.23743839	.
WT	 66	4	308452.00	 78210.323	39105.161	124450.076	LIGHT	0.25012685	.
WT	 67	4	314832.25	 80365.374	40182.687	127879.243	LIGHT	0.25551242	.
WT	 68	4	319204.50	 81356.639	40678.319	129456.567	LIGHT	0.26514980	.
WT	 69	4	331624.75	 81240.486	40620.243	129271.743	DARK	0.28648832	.
WT	 70	4	341180.50	 79876.894	39938.447	127101.963	DARK	0.29809454	.
WT	 71	4	347488.00	 78355.394	39177.697	124680.917	DARK	0.28418504	.
WT	 72	4	353484.00	 79132.996	39566.498	125918.256	DARK	0.30546906	.
WT	 73	4	360934.75	 81282.873	40641.437	129339.190	DARK	0.31370818	.
WT	 74	4	369732.75	 85655.742	42827.871	136297.400	DARK	0.32865943	.
WT	 75	4	375745.75	 88539.869	44269.935	140886.690	DARK	0.35443967	.
WT	 76	4	379989.75	 87878.869	43939.435	139834.891	DARK	0.34557484	.
WT	 77	4	383716.50	 85427.782	42713.891	135934.664	DARK	0.32207698	.
WT	 78	4	388224.75	 86632.128	43316.064	137851.048	DARK	0.30448444	.
WT	 79	4	393251.25	 85396.322	42698.161	135884.605	DARK	0.29796238	.
WT	 80	4	400199.25	 82812.544	41406.272	131773.237	DARK	0.29997396	.
WT	 81	4	402136.00	 83187.257	41593.628	132369.489	DARK	0.28882723	.
WT	 82	4	405570.25	 80108.995	40054.497	127471.287	DARK	0.25507907	.
WT	 83	4	408657.25	 81415.769	40707.884	129550.656	DARK	0.23278409	.
WT	 84	4	410741.00	 80982.615	40491.308	128861.412	DARK	0.21991062	.
WT	 85	4	414362.50	 80242.912	40121.456	127684.380	DARK	0.19656125	.
WT	 86	4	421789.00	 79827.079	39913.540	127022.696	DARK	0.18518585	.
WT	 87	4	426729.25	 82242.269	41121.135	130865.803	LIGHT	0.17766848	.
WT	 88	4	431087.75	 83692.512	41846.256	133173.463	LIGHT	0.18435208	.
WT	 89	4	435644.75	 82671.233	41335.616	131548.380	LIGHT	0.18350021	.
WT	 90	4	437545.50	 83097.259	41548.629	132226.282	LIGHT	0.15251678	.
WT	 91	4	441788.50	 82383.960	41191.980	131091.265	LIGHT	0.15515109	.
WT	 92	4	443138.75	 82840.541	41420.271	131817.787	LIGHT	0.13620225	.
WT	 93	4	444056.00	 82526.712	41263.356	131318.414	LIGHT	0.11846215	.
WT	 94	4	449827.75	 86770.370	43385.185	138071.021	LIGHT	0.10778130	.
