Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	  8	4	 36941.25	 12409.299	 6204.650	 19745.964	DARK	0.32524881	.
WT	  9	4	 39314.50	 11846.614	 5923.307	 18850.606	DARK	0.35536531	.
WT	 10	4	 42039.50	 12068.669	 6034.335	 19203.946	DARK	0.47592466	.
WT	 11	4	 43426.25	 13010.487	 6505.244	 20702.589	DARK	0.45165649	.
WT	 12	4	 48575.75	 14812.395	 7406.198	 23569.827	DARK	0.38545527	.
WT	 13	4	 55133.00	 17380.437	 8690.218	 27656.153	LIGHT	0.39874147	.
WT	 14	4	 59112.75	 19082.191	 9541.095	 30364.024	LIGHT	0.36108712	.
WT	 15	4	 61891.75	 19911.179	 9955.590	 31683.129	LIGHT	0.38165740	.
WT	 16	4	 63498.75	 20781.365	10390.682	 33067.789	LIGHT	0.37674911	.
WT	 17	4	 67343.75	 24099.386	12049.693	 38347.501	LIGHT	0.35344174	.
WT	 18	4	 70167.50	 25195.209	12597.604	 40091.199	LIGHT	0.35629332	.
WT	 19	4	 73249.50	 25616.049	12808.025	 40760.851	LIGHT	0.31216141	.
WT	 20	4	 76430.75	 27882.933	13941.466	 44367.968	LIGHT	0.25918271	.
WT	 21	4	 78697.25	 28997.674	14498.837	 46141.771	LIGHT	0.21628282	.
WT	 22	4	 80603.25	 29989.849	14994.924	 47720.542	LIGHT	0.14350801	.
WT	 23	4	 81900.00	 30643.875	15321.938	 48761.244	LIGHT	0.11631524	.
WT	 24	4	 86847.75	 33964.608	16982.304	 54045.270	LIGHT	0.13950386	.
WT	 25	4	 90398.00	 36917.782	18458.891	 58744.429	LIGHT	0.13659140	.
WT	 26	4	 95285.75	 40721.972	20360.986	 64797.745	LIGHT	0.13989856	.
WT	 27	4	 98749.50	 41922.058	20961.029	 66707.349	LIGHT	0.12721479	.
WT	 28	4	101523.50	 43932.194	21966.097	 69905.925	LIGHT	0.12151672	.
WT	 29	4	108294.00	 49389.699	24694.850	 78590.033	LIGHT	0.12898616	.
WT	 30	4	113494.75	 52509.701	26254.850	 83554.652	LIGHT	0.12537414	.
WT	 31	4	117086.00	 52960.635	26480.317	 84272.188	LIGHT	0.10928414	.
WT	 32	4	124339.75	 54925.500	27462.750	 87398.728	DARK	0.11037732	.
WT	 33	4	131707.00	 54932.220	27466.110	 87409.420	DARK	0.12122256	.
WT	 34	4	137330.00	 57111.257	28555.629	 90876.755	DARK	0.18395587	.
WT	 35	4	140809.00	 57998.121	28999.061	 92287.954	DARK	0.23276393	.
WT	 36	4	145808.50	 60345.053	30172.526	 96022.445	DARK	0.28116929	.
WT	 37	4	151042.75	 64342.830	32171.415	102383.800	DARK	0.29512719	.
WT	 38	4	157348.25	 67571.336	33785.668	107521.074	DARK	0.31968582	.
WT	 39	4	161683.25	 67098.851	33549.425	106769.245	DARK	0.29606421	.
WT	 40	4	165443.25	 70434.440	35217.220	112076.911	DARK	0.29425444	.
WT	 41	4	169875.50	 71985.360	35992.680	114544.771	DARK	0.31134754	.
WT	 42	4	172759.75	 71098.763	35549.381	113133.998	DARK	0.32120686	.
WT	 43	4	175688.00	 73169.042	36584.521	116428.274	DARK	0.33387716	.
WT	 44	4	178087.25	 71964.575	35982.287	114511.698	DARK	0.33534085	.
WT	 45	4	182101.00	 74377.683	37188.841	118351.491	DARK	0.33672217	.
WT	 46	4	185777.75	 75767.392	37883.696	120562.828	DARK	0.32214864	.
WT	 47	4	187801.75	 76486.861	38243.431	121707.664	DARK	0.30979394	.
WT	 48	4	191233.75	 77184.608	38592.304	122817.935	DARK	0.30688186	.
WT	 49	4	197077.25	 78621.785	39310.892	125104.804	DARK	0.28254163	.
WT	 50	4	201757.25	 78059.619	39029.810	124210.273	LIGHT	0.28414678	.
WT	 51	4	204347.00	 79999.672	39999.836	127297.330	LIGHT	0.28387011	.
WT	 52	4	207834.25	 81524.005	40762.002	129722.884	LIGHT	0.26921407	.
WT	 53	4	209718.00	 82757.734	41378.867	131686.023	LIGHT	0.25221598	.
WT	 54	4	213487.00	 85221.226	42610.613	135605.988	LIGHT	0.24815938	.
WT	 55	4	215417.75	 86627.746	43313.873	137844.075	LIGHT	0.23344562	.
WT	 56	4	216626.75	 86774.850	43387.425	138078.150	LIGHT	0.22171680	.
WT	 57	4	219014.00	 88165.512	44082.756	140291.004	LIGHT	0.21001720	.
WT	 58	4	220842.00	 88946.926	44473.463	141534.408	LIGHT	0.20792254	.
WT	 59	4	221305.50	 89305.652	44652.826	142105.222	LIGHT	0.19635742	.
WT	 60	4	222508.25	 89951.896	44975.948	143133.539	LIGHT	0.18725593	.
WT	 61	4	223965.25	 90491.472	45245.736	143992.125	LIGHT	0.18162884	.
WT	 62	4	226470.75	 92600.129	46300.064	147347.469	LIGHT	0.18028068	.
WT	 63	4	230212.25	 94939.104	47469.552	151069.301	LIGHT	0.18173831	.
WT	 64	4	232751.00	 97103.845	48551.922	154513.886	LIGHT	0.17216644	.
WT	 65	4	234319.75	 97860.173	48930.086	155717.373	LIGHT	0.16031922	.
WT	 66	4	235530.75	 98656.480	49328.240	156984.475	LIGHT	0.16848553	.
WT	 67	4	239997.75	100769.432	50384.716	160346.653	LIGHT	0.16453576	.
WT	 68	4	243429.50	102563.930	51281.965	163202.100	LIGHT	0.16538003	.
WT	 69	4	251970.00	102893.817	51446.909	163727.024	DARK	0.16534247	.
WT	 70	4	258476.00	101904.154	50952.077	162152.250	DARK	0.16650813	.
WT	 71	4	263007.25	101811.754	50905.877	162005.220	DARK	0.15875540	.
WT	 72	4	267794.75	103502.565	51751.282	164695.677	DARK	0.16548892	.
WT	 73	4	272927.00	104977.056	52488.528	167041.921	DARK	0.16061959	.
WT	 74	4	278891.50	107630.149	53815.074	171263.585	DARK	0.16214018	.
WT	 75	4	283135.50	109667.884	54833.942	174506.077	DARK	0.16965437	.
WT	 76	4	286283.00	109439.934	54719.967	174143.357	DARK	0.16620127	.
WT	 77	4	288665.00	108073.078	54036.539	171968.384	DARK	0.15916180	.
WT	 78	4	291773.25	109106.615	54553.307	173612.971	DARK	0.15285382	.
WT	 79	4	295516.00	108293.224	54146.612	172318.686	DARK	0.14414844	.
WT	 80	4	300449.25	107099.998	53549.999	170419.997	DARK	0.13892803	.
WT	 81	4	302038.25	107332.078	53666.039	170789.288	DARK	0.13575161	.
